iter	Passed	Remaining
611	11049	7005
612	11053	6978
613	11120	6990
614	11132	6969
615	11142	6945
616	11171	6934
617	11175	6907
618	11177	6879
619	11184	6855
620	11195	6832
621	11216	6816
622	11255	6810
623	11287	6801
624	11321	6792
625	11324	6765
626	11327	6738
627	11341	6718
628	11348	6693
629	11354	6668
630	11360	6643
631	11371	6621
632	11386	6601
633	11403	6583
634	11408	6557
635	11414	6532
636	11417	6506
637	11419	6479
638	11445	6466
639	11508	6473
640	11526	6455
641	11528	6428
642	11531	6402
643	11536	6377
644	11547	6355
645	11572	6341
646	11628	6344
647	11643	6324
648	11669	6311
649	11689	6294
650	11716	6281
651	11721	6256
652	11724	6230
653	11737	6209
654	11739	6183
655	11743	6158
656	11758	6138
657	11764	6114
658	11771	6090
659	11778	6067
660	11781	6042
661	11786	6018
662	11797	5996
663	11814	5978
664	11828	5958
665	11838	5937
666	11868	5925
667	11874	5901
668	11877	5876
669	11954	5887
670	11957	5863
671	11969	5842
672	11975	5818
673	11984	5796
674	12036	5795
675	12048	5774
676	12051	5749
677	12108	5750
678	12122	5730
679	12134	5710
680	12140	5687
681	12146	5663
682	12152	5640
683	12154	5615
684	12157	5590
685	12166	5569
686	12177	5548
687	12185	5526
688	12193	5503
689	12199	5481
690	12202	5456
691	12216	5437
692	12236	5420
693	12241	5397
694	12246	5374
695	12322	5382
696	12335	5362
697	12338	5338
698	12415	5346
699	12420	5322
700	12466	5317
701	12480	5298
702	12498	5280
703	12546	5275
704	12574	5261
705	12617	5254
706	12684	5256
707	12703	5239
708	12722	5221
709	12732	5200
710	12777	5193
711	12782	5170
712	12905	5194
713	12927	5178
714	12970	5170
715	12992	5153
716	13038	5146
717	13066	5131
718	13144	5137
719	13173	5123
720	13206	5110
721	13220	5090
722	13225	5067
723	13240	5047
724	13249	5025
725	13253	5002
726	13267	4982
727	13277	4960
728	13289	4940
729	13292	4916
730	13306	4896
731	13314	4874
732	13330	4855
733	13333	4831
734	13345	4811
735	13354	4790
736	13361	4768
737	13363	4744
738	13393	4730
739	13408	4711
740	13413	4688
741	13461	4680
742	13469	4659
743	13501	4645
744	13543	4635
745	13547	4612
746	13550	4589
747	13582	4575
748	13591	4554
749	13594	4531
750	13597	4508
751	13606	4487
752	13623	4468
753	13627	4446
754	13644	4427
755	13655	4407
756	13658	4384
757	13686	4369
758	13690	4347
759	13802	4358
760	13840	4346
761	13853	4327
762	13906	4319
763	13913	4297
764	13963	4289
765	13966	4266
766	13974	4245
767	13979	4222
768	13981	4200
769	13996	4180
770	14005	4159
771	14011	4138
772	14017	4116
773	14022	4094
774	14024	4071
775	14026	4048
776	14029	4026
777	14036	4005
778	14066	3990
779	14083	3972
780	14099	3953
781	14105	3932
782	14112	3911
